text,published_at,cleaned
"이런 대회도 있었냐?
바보 축구들...
고만해라
관심없다",2025-07-08T13:41:57Z,대회도 있었냐 바보 축구들 고만해라 관심없다
축구 한지도 몰랐네,2025-07-08T13:41:56Z,축구 한지도 몰랐네
4:11 내가 잘못들었나?? 이거 야유임?,2025-07-08T13:41:40Z,411 내가 잘못들었나 이거 야유임
"홍    끝까지 퇴사 안하는 군..
선수들은 모두모두 화이팅",2025-07-08T13:41:14Z,홍 끝까지 퇴사 안하는 군 선수들은 모두모두 화이팅
"꼴보기 싫은 정몽규, 홍명보 제발 아웃!",2025-07-08T13:40:51Z,꼴보기 싫은 정몽규 홍명보 제발 아웃
또지냐ㅋㅋㅋ,2025-07-08T13:39:47Z,또지냐ㅋㅋㅋ
너무 덥다,2025-07-08T13:39:04Z,너무 덥다
동아시안컵 왜하는거임 공식 a매치도 아니고 상대들이 일본빼고 못하는데 우린 강한상대랑 싸워서 국제무대 경험 쌓는게 중요한데...,2025-07-08T13:38:03Z,동아시안컵 왜하는거임 공식 a매치도 아니고 상대들이 일본빼고 못하는데 우린 강한상대랑 싸워서 국제무대 경험 쌓는게 중요한데
축구하는지도몰랏네..명보랑..누구땜시ㅋㄱㄲ,2025-07-08T13:38:00Z,축구하는지도몰랏네명보랑누구땜시ㅋㄱㄲ
TV조선에서 안보는 방법은 없나요?,2025-07-08T13:36:23Z,tv조선에서 안보는 방법은 없나요
축구 예전만큼 재미가없어요ㅠㅠ,2025-07-08T13:33:01Z,축구 예전만큼 재미가없어요ㅠㅠ
관중 실화인가? 한국에서 경기 한거인가? 중국 용인시에서 경기 한거인가? 중국이아도 이 정도 안나오지,2025-07-08T13:32:54Z,관중 실화인가 한국에서 경기 한거인가 중국 용인시에서 경기 한거인가 중국이아도 정도 안나오지
문선민은좀..,2025-07-08T13:32:02Z,문선민은좀
정몽규 홍명보 아웃,2025-07-08T13:25:48Z,정몽규 홍명보 아웃
이*명이 이 영상을 싫어합니다.,2025-07-08T13:25:10Z,이명이 영상을 싫어합니다
"정몽규 홍명보 꼴보기 싫어서 직관 안간다 
정몽규 홍명보 꺼져",2025-07-08T13:24:03Z,정몽규 홍명보 꼴보기 싫어서 직관 안간다 정몽규 홍명보 꺼져
재미가 없어지는 대한민국 축구,2025-07-08T13:23:19Z,재미가 없어지는 대한민국 축구
중국 3대 0  이 자랑스럽니? 명보씨,2025-07-08T13:22:23Z,중국 3대 0 자랑스럽니 명보씨
이영상은 범죄단체당 수고 보째명이가 좋아하지 않습니다,2025-07-08T13:20:01Z,이영상은 범죄단체당 수고 보째명이가 좋아하지 않습니다
문선민 기회 몇번을 날리는겨,2025-07-08T13:18:41Z,문선민 기회 몇번을 날리는겨
진짜 봐도봐도 못하네....,2025-07-08T13:18:17Z,진짜 봐도봐도 못하네
"쿠팡플레이 가입하고 쿠플의 모든 스포츠 콘텐츠를 무제한으로 youtube로 만나보세요. 
축구 하는 줄도 몰랐네. 중국 이겨 먹었다고 누가 국뽕 올려놓은 줄 알았네...
유튜브 조회수가 시청자 수보다 더 많은 거 아닌가?",2025-07-08T13:17:40Z,쿠팡플레이 가입하고 쿠플의 모든 스포츠 콘텐츠를 무제한으로 youtube로 만나보세요 축구 하는 줄도 몰랐네 중국 이겨 먹었다고 누가 국뽕 올려놓은 줄 알았네 유튜브 조회수가 시청자 수보다 더 많은 거 아닌가
이동경은 킥만 좋고 패스 경로랑 타이밍이 별로네,2025-07-08T13:16:25Z,이동경은 킥만 좋고 패스 경로랑 타이밍이 별로네
셰셰들 개박살 내려버라 대한민국 파이팅,2025-07-08T13:14:07Z,셰셰들 개박살 내려버라 대한민국 파이팅
잘한게 아니고 중국이 못한거임,2025-07-08T13:14:03Z,잘한게 아니고 중국이 못한거임
와 문선빈 몸싸움 뭐야 ㄷㄷㄷ,2025-07-08T13:13:34Z,문선빈 몸싸움 뭐야 ㄷㄷㄷ
줜나 못하네.그지득,2025-07-08T13:13:10Z,줜나 못하네그지득
이게 국대경기 인가요??,2025-07-08T13:12:59Z,이게 국대경기 인가요
후..,2025-07-08T13:10:31Z,후
유독 쿠팡플레이 댓글 여론중에 홍명보 정몽규 실드치는 댓글들 많은데 여기만 댓글 작업하는거 다 티난다 ㅌㅋㅋㅋㅋㅋㅋㅋ 추하다 몽규야,2025-07-08T13:10:27Z,유독 쿠팡플레이 댓글 여론중에 홍명보 정몽규 실드치는 댓글들 많은데 여기만 댓글 작업하는거 다 티난다 ㅌㅋㅋㅋㅋㅋㅋㅋ 추하다 몽규야
진짜 못한다,2025-07-08T13:09:59Z,진짜 못한다
뭔 중국을 상대로 똥을 싸노,2025-07-08T13:05:44Z,뭔 중국을 상대로 똥을 싸노
중국이 중궈했다,2025-07-08T13:05:17Z,중국이 중궈했다
진짜 오지게도 못하네 쏘니 강인이등 다 빠지면 다음세대들부터는 안봐도 암울하겠다,2025-07-08T13:02:38Z,진짜 오지게도 못하네 쏘니 강인이등 다 빠지면 다음세대들부터는 안봐도 암울하겠다
9:20  이걸 뒤에다 저따구로 주네ㅋㅋㅋㅋㅋㅋ,2025-07-08T13:02:18Z,920 이걸 뒤에다 저따구로 주네ㅋㅋㅋㅋㅋㅋ
공산당꺼져,2025-07-08T13:00:57Z,공산당꺼져
"와 하다하다 몽 홍 댓글부대는 첨이다 ㅋㅋㅋㅋ
몽 홍 자리에 앉을사람 많다~~~~
2찍들아 ㅋㅋ",2025-07-08T12:59:05Z,하다하다 몽 홍 댓글부대는 첨이다 ㅋㅋㅋㅋ 몽 홍 자리에 앉을사람 많다 2찍들아 ㅋㅋ
난 이번 국대 선수들 너무 좋다🫶🏻,2025-07-08T12:58:56Z,난 국대 선수들 너무 좋다
지인이 치킨집을 하는데 최근에는 축구하는날도 매출 변동이 없다네요😅,2025-07-08T12:57:51Z,지인이 치킨집을 하는데 최근에는 축구하는날도 매출 변동이 없다네요
"많은 축구팬들이 잘 모르는 사실이 있는데 우리나라가 매번 중국을 이기긴 하지만 4점차 이상의 대승을 한적은 아직까지 없습니다. 그러니 3점차 승리는 나름 잘한거에요. 그렇다고 홍명보를 칭찬하기엔 좀 이른게, 그 클린스만도 중국을 3:0으로 이겼습니다.",2025-07-08T12:57:22Z,많은 축구팬들이 잘 모르는 사실이 있는데 우리나라가 중국을 이기긴 4점차 이상의 대승을 한적은 아직까지 없습니다 3점차 승리는 나름 잘한거에요 그렇다고 홍명보를 칭찬하기엔 이른게 클린스만도 중국을 30으로 이겼습니다
축구 한 줄도 몰랐다 ㅋㅋㅋ,2025-07-08T12:57:22Z,축구 한 줄도 몰랐다 ㅋㅋㅋ
플레이가 중국스럽군,2025-07-08T12:56:22Z,플레이가 중국스럽군
